Level,Name,PSGC Code
Bgy,Barangay 409,1380606015
Bgy,Barangay 410,1380606016
Bgy,Barangay 411,1380606017
Bgy,Barangay 412,1380606018
Bgy,Barangay 413,1380606019
Bgy,Barangay 414,1380606020
Bgy,Barangay 415,1380606021
Bgy,Barangay 416,1380606022
Bgy,Barangay 417,1380606023
Bgy,Barangay 418,1380606024
Bgy,Barangay 419,1380606025
Bgy,Barangay 420,1380606026
Bgy,Barangay 421,1380606027
Bgy,Barangay 422,1380606028
Bgy,Barangay 423,1380606029
Bgy,Barangay 424,1380606030
Bgy,Barangay 425,1380606031
Bgy,Barangay 426,1380606032
Bgy,Barangay 427,1380606033
Bgy,Barangay 428,1380606034
Bgy,Barangay 429,1380606035
Bgy,Barangay 430,1380606036
Bgy,Barangay 431,1380606037
Bgy,Barangay 432,1380606038
Bgy,Barangay 433,1380606039
Bgy,Barangay 434,1380606040
Bgy,Barangay 435,1380606041
Bgy,Barangay 436,1380606042
Bgy,Barangay 437,1380606043
Bgy,Barangay 438,1380606044
Bgy,Barangay 439,1380606045
Bgy,Barangay 440,1380606046
Bgy,Barangay 441,1380606047
Bgy,Barangay 442,1380606048
Bgy,Barangay 443,1380606049
Bgy,Barangay 444,1380606050
Bgy,Barangay 445,1380606051
Bgy,Barangay 446,1380606052
Bgy,Barangay 447,1380606053
Bgy,Barangay 448,1380606054
Bgy,Barangay 449,1380606055
Bgy,Barangay 450,1380606056
Bgy,Barangay 451,1380606057
Bgy,Barangay 452,1380606058
Bgy,Barangay 453,1380606059
Bgy,Barangay 454,1380606060
Bgy,Barangay 455,1380606061
Bgy,Barangay 456,1380606062
Bgy,Barangay 457,1380606063
Bgy,Barangay 458,1380606064
Bgy,Barangay 459,1380606065
Bgy,Barangay 460,1380606066
Bgy,Barangay 461,1380606067
Bgy,Barangay 462,1380606068
Bgy,Barangay 463,1380606069
Bgy,Barangay 464,1380606070
Bgy,Barangay 465,1380606071
Bgy,Barangay 466,1380606072
Bgy,Barangay 467,1380606073
Bgy,Barangay 468,1380606074
Bgy,Barangay 469,1380606075
Bgy,Barangay 470,1380606076
Bgy,Barangay 471,1380606077
Bgy,Barangay 472,1380606078
Bgy,Barangay 473,1380606079
Bgy,Barangay 474,1380606080
Bgy,Barangay 475,1380606081
Bgy,Barangay 476,1380606082
Bgy,Barangay 477,1380606083
Bgy,Barangay 478,1380606084
Bgy,Barangay 479,1380606085
Bgy,Barangay 480,1380606086
Bgy,Barangay 481,1380606087
Bgy,Barangay 482,1380606088
Bgy,Barangay 483,1380606089
Bgy,Barangay 484,1380606090
Bgy,Barangay 485,1380606091
